S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,Positive,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes,"['it', 'feels', 'more', 'comfortable', 'than', 'most', 'headsets', 'because', 'i', 'wear', 'glasses', 'and', 'that', 'gets', 'in', 'the', 'way', 'sometimes']","['feels', 'comfortable', 'headsets', 'wear', 'glasses', 'gets', 'way', 'sometimes']"
68,Great for iPODs too.,Positive,Great for iPODs too,"['great', 'for', 'ipods', 'too']","['great', 'ipods']"
69,This device is great in several situations:1.),Positive,This device is great in several situations1,"['this', 'device', 'is', 'great', 'in', 'several', 'situations1']","['device', 'great', 'several', 'situations1']"
70,Mic Doesn't work.,Negative,Mic Doesnt work,"['mic', 'doesnt', 'work']","['mic', 'doesnt', 'work']"
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",Negative,Even in my BMW 3 series which is fairly quiet I have trouble hearing what the other person is saying,"['even', 'in', 'my', 'bmw', '3', 'series', 'which', 'is', 'fairly', 'quiet', 'i', 'have', 'trouble', 'hearing', 'what', 'the', 'other', 'person', 'is', 'saying']","['even', 'bmw', '3', 'series', 'fairly', 'quiet', 'trouble', 'hearing', 'person', 'saying']"
72,Great choice!,Positive,Great choice,"['great', 'choice']","['great', 'choice']"
73,Nice docking station for home or work.,Positive,Nice docking station for home or work,"['nice', 'docking', 'station', 'for', 'home', 'or', 'work']","['nice', 'docking', 'station', 'home', 'work']"
74,This is a beautiful phone.,Positive,This is a beautiful phone,"['this', 'is', 'a', 'beautiful', 'phone']","['beautiful', 'phone']"
75,Love this product.,Positive,Love this product,"['love', 'this', 'product']","['love', 'product']"
76,Do Not Buy for D807...wrongly advertised for D807.,Negative,Do Not Buy for D807wrongly advertised for D807,"['do', 'not', 'buy', 'for', 'd807wrongly', 'advertised', 'for', 'd807']","['buy', 'd807wrongly', 'advertised', 'd807']"
77,This is a great little item.,Positive,This is a great little item,"['this', 'is', 'a', 'great', 'little', 'item']","['great', 'little', 'item']"
78,"I love this phone , It is very handy and has a lot of features .",Positive,I love this phone  It is very handy and has a lot of features ,"['i', 'love', 'this', 'phone', 'it', 'is', 'very', 'handy', 'and', 'has', 'a', 'lot', 'of', 'features']","['love', 'phone', 'handy', 'lot', 'features']"
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,Negative,I purchased this and within 2 days it was no longer working,"['i', 'purchased', 'this', 'and', 'within', '2', 'days', 'it', 'was', 'no', 'longer', 'working']","['purchased', 'within', '2', 'days', 'longer', 'working']"
80,I wear it everyday and it holds up very well.,Positive,I wear it everyday and it holds up very well,"['i', 'wear', 'it', 'everyday', 'and', 'it', 'holds', 'up', 'very', 'well']","['wear', 'everyday', 'holds', 'well']"
81,Not a good bargain.,Negative,Not a good bargain,"['not', 'a', 'good', 'bargain']","['good', 'bargain']"
82,"Well packaged, arrived on time, and works as intended.",Positive,Well packaged arrived on time and works as intended,"['well', 'packaged', 'arrived', 'on', 'time', 'and', 'works', 'as', 'intended']","['well', 'packaged', 'arrived', 'time', 'works', 'intended']"
83,The battery runs down quickly.,Negative,The battery runs down quickly,"['the', 'battery', 'runs', 'down', 'quickly']","['battery', 'runs', 'quickly']"
84,"This item worked great, but it broke after 6 months of use.",Negative,This item worked great but it broke after 6 months of use,"['this', 'item', 'worked', 'great', 'but', 'it', 'broke', 'after', '6', 'months', 'of', 'use']","['item', 'worked', 'great', 'broke', '6', 'months', 'use']"
85,The headsets are easy to use and everyone loves them.,Positive,The headsets are easy to use and everyone loves them,"['the', 'headsets', 'are', 'easy', 'to', 'use', 'and', 'everyone', 'loves', 'them']","['headsets', 'easy', 'use', 'everyone', 'loves']"
86,This phone works great.,Positive,This phone works great,"['this', 'phone', 'works', 'great']","['phone', 'works', 'great']"
87,The construction of the headsets is poor.,Negative,The construction of the headsets is poor,"['the', 'construction', 'of', 'the', 'headsets', 'is', 'poor']","['construction', 'headsets', 'poor']"
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,Positive,Product was excellent and works better than the verizon one and Boy was it cheaper,"['product', 'was', 'excellent', 'and', 'works', 'better', 'than', 'the', 'verizon', 'one', 'and', 'boy', 'was', 'it', 'cheaper']","['product', 'excellent', 'works', 'better', 'verizon', 'one', 'boy', 'cheaper']"
89,The phone loads super!,Positive,The phone loads super,"['the', 'phone', 'loads', 'super']","['phone', 'loads', 'super']"
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",Negative,For a product that costs as much as this one does I expect it to work far better and with greater ease than this thing does,"['for', 'a', 'product', 'that', 'costs', 'as', 'much', 'as', 'this', 'one', 'does', 'i', 'expect', 'it', 'to', 'work', 'far', 'better', 'and', 'with', 'greater', 'ease', 'than', 'this', 'thing', 'does']","['product', 'costs', 'much', 'one', 'expect', 'work', 'far', 'better', 'greater', 'ease', 'thing']"
91,Made very sturdy.,Positive,Made very sturdy,"['made', 'very', 'sturdy']","['made', 'sturdy']"
92,Worked great!.,Positive,Worked great,"['worked', 'great']","['worked', 'great']"
93,The ear buds only play music in one ear.,Negative,The ear buds only play music in one ear,"['the', 'ear', 'buds', 'only', 'play', 'music', 'in', 'one', 'ear']","['ear', 'buds', 'play', 'music', 'one', 'ear']"
94,Dont waste your money...,Negative,Dont waste your money,"['dont', 'waste', 'your', 'money']","['dont', 'waste', 'money']"
95,Will order from them again!,Positive,Will order from them again,"['will', 'order', 'from', 'them', 'again']",['order']
96,If you plan to use this in a car forget about it.,Negative,If you plan to use this in a car forget about it,"['if', 'you', 'plan', 'to', 'use', 'this', 'in', 'a', 'car', 'forget', 'about', 'it']","['plan', 'use', 'car', 'forget']"
97,I found this product to be waaay too big.,Negative,I found this product to be waaay too big,"['i', 'found', 'this', 'product', 'to', 'be', 'waaay', 'too', 'big']","['found', 'product', 'waaay', 'big']"
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,Positive,Best Ive found so far  Ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,"['best', 'ive', 'found', 'so', 'far', 'ive', 'tried', '2', 'other', 'bluetooths', 'and', 'this', 'one', 'has', 'the', 'best', 'quality', 'for', 'both', 'me', 'and', 'the', 'listener', 'as', 'well', 'as', 'ease', 'of', 'using']","['best', 'ive', 'found', 'far', 'ive', 'tried', '2', 'bluetooths', 'one', 'best', 'quality', 'listener', 'well', 'ease', 'using']"
99,I'm very disappointed with my decision.,Negative,Im very disappointed with my decision,"['im', 'very', 'disappointed', 'with', 'my', 'decision']","['im', 'disappointed', 'decision']"
100,Integrated seamlessly with the Motorola RAZR phone.,Positive,Integrated seamlessly with the Motorola RAZR phone,"['integrated', 'seamlessly', 'with', 'the', 'motorola', 'razr', 'phone']","['integrated', 'seamlessly', 'motorola', 'razr', 'phone']"
101,"Buyer Beware, you could flush money right down the toilet.",Negative,Buyer Beware you could flush money right down the toilet,"['buyer', 'beware', 'you', 'could', 'flush', 'money', 'right', 'down', 'the', 'toilet']","['buyer', 'beware', 'could', 'flush', 'money', 'right', 'toilet']"
102,Definitely a bargain.,Positive,Definitely a bargain,"['definitely', 'a', 'bargain']","['definitely', 'bargain']"
103,The price was very good and with the free shipping and all it was a good purchase.,Positive,The price was very good and with the free shipping and all it was a good purchase,"['the', 'price', 'was', 'very', 'good', 'and', 'with', 'the', 'free', 'shipping', 'and', 'all', 'it', 'was', 'a', 'good', 'purchase']","['price', 'good', 'free', 'shipping', 'good', 'purchase']"
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,Negative,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,"['i', 'received', 'my', 'supposedly', 'new', 'motorola', '375', 'and', 'apparently', 'there', 'was', 'not', 'a', 'match', 'between', 'the', 'phone', 'and', 'the', 'charger']","['received', 'supposedly', 'new', 'motorola', '375', 'apparently', 'match', 'phone', 'charger']"
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",Positive,ProsGood camera  very nice pictures  also has cool styles like black and white and more,"['prosgood', 'camera', 'very', 'nice', 'pictures', 'also', 'has', 'cool', 'styles', 'like', 'black', 'and', 'white', 'and', 'more']","['prosgood', 'camera', 'nice', 'pictures', 'also', 'cool', 'styles', 'like', 'black', 'white']"
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",Negative,Thats a huge design flaw unless Im not using it correctly which I dont think is the case,"['thats', 'a', 'huge', 'design', 'flaw', 'unless', 'im', 'not', 'using', 'it', 'correctly', 'which', 'i', 'dont', 'think', 'is', 'the', 'case']","['thats', 'huge', 'design', 'flaw', 'unless', 'im', 'using', 'correctly', 'dont', 'think', 'case']"
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",Positive,I love my 350 headset My Jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,"['i', 'love', 'my', '350', 'headset', 'my', 'jabra350', 'bluetooth', 'headset', 'is', 'great', 'the', 'reception', 'is', 'very', 'good', 'and', 'the', 'ear', 'piece', 'is', 'a', 'comfortable', 'fit']","['love', '350', 'headset', 'jabra350', 'bluetooth', 'headset', 'great', 'reception', 'good', 'ear', 'piece', 'comfortable', 'fit']"
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",Negative,The camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,"['the', 'camera', 'although', 'rated', 'at', 'an', 'impressive', '13', 'megapixels', 'renders', 'images', 'that', 'fall', 'well', 'below', 'expectations', 'of', 'such', 'a', 'relatively', 'high', 'resolution']","['camera', 'although', 'rated', 'impressive', '13', 'megapixels', 'renders', 'images', 'fall', 'well', 'expectations', 'relatively', 'high', 'resolution']"
109,I purcashed this for the car charger and it does not work.,Negative,I purcashed this for the car charger and it does not work,"['i', 'purcashed', 'this', 'for', 'the', 'car', 'charger', 'and', 'it', 'does', 'not', 'work']","['purcashed', 'car', 'charger', 'work']"
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",Positive,Sound quality on both end is excellent I use headset to call my wife and ask my wife to use headset to call me 2,"['sound', 'quality', 'on', 'both', 'end', 'is', 'excellent', 'i', 'use', 'headset', 'to', 'call', 'my', 'wife', 'and', 'ask', 'my', 'wife', 'to', 'use', 'headset', 'to', 'call', 'me', '2']","['sound', 'quality', 'end', 'excellent', 'use', 'headset', 'call', 'wife', 'ask', 'wife', 'use', 'headset', 'call', '2']"
111,This phone is slim and light and the display is beautiful.,Positive,This phone is slim and light and the display is beautiful,"['this', 'phone', 'is', 'slim', 'and', 'light', 'and', 'the', 'display', 'is', 'beautiful']","['phone', 'slim', 'light', 'display', 'beautiful']"
